 Nom  de  l'hôtel , Localisation , Nombre  des  étoiles  d’hôtel , Prix , Nombre  d'utilisateur , Excellent , Très  bon , Moyen , Médiocre , Horrible , servies  proposer , classe 
Hôtel La Manufacture,"8 rue Philippe de Champagne | 13th Arr., 75013 Paris, France",3,120,1954,49,42,7,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hotel Darcet,"4 rue Darcet | 17 Arr., 75017 Paris, France",2,80,852,69,25,4,1,0,"Wi-Fi gratuit, Parking, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Service de ménage, Tous les détails de l'hôtel, ",2
Novotel Paris Centre Gare Montparnasse,"17 rue du Cotentin, 75015 Paris, France",4,206,2158,29,51,15,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Holiday Inn Express Paris-Canal de la Villette,"68 Quai De La Seine | 19 Arr., 75019 Paris, France",3,106,1288,36,46,12,3,0,"Wi-Fi gratuit, Parking, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Restaurant, Chambres familiales, Tous les détails de l'hôtel, ",2
Fred Hotel,"11 AVENUE VILLEMAIN | 14th Arr., 75014 Paris, France",3,178,873,50,42,6,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Ibis Styles Paris Massena Olympiades,"82-84, rue Regnault | 13ème Arr., 75013 Paris, France",3,104,520,35,51,11,2,0,"Wi-Fi gratuit, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",2
Novotel Paris Gare de Lyon,"2 Rue Hector Malot, 75012 Paris, France",4,169,3258,31,50,13,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Tous les détails de l'hôtel, ",3
Hôtel Eiffel Blomet,"78 rue Blomet, 75015 Paris, France",4,177,576,80,15,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel de L'Union,"65 rue des Pyrenees, 75020 Paris, France",0,68,190,35,46,15,2,0,"Wi-Fi gratuit, Parking gratuit, Piscine, Hôtel non-fumeur, Restaurant, Chambres familiales, Centre de remise en forme, Tous les détails de l'hôtel, ",1
CitizenM Paris Gare de Lyon,"8 rue Van Gogh, 75012 Paris, France",4,123,1452,58,29,7,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Bar sur le toit, Personnel multilingue, Tous les détails de l'hôtel, ",3
Hotel Molitor Paris - MGallery Collection,"13 Rue Nungesser Et Coli, 75016 Paris, France",5,260,1335,63,22,9,4,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Pullman Paris Tour Eiffel,"18 Avenue de Suffren | Entrée au 22 Rue Jean Rey, 75015 Paris, France",4,378,2876,50,29,11,5,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Hôtel des Arts - Montmartre,"5 rue Tholoze, 75018 Paris, France",3,157,3102,59,33,5,1,2,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Navette aéroport, Concierge, Service de ménage, Parking gratuit, Tous les détails de l'hôtel, ",3
Hôtel L'interlude,"258 avenue Daumesnil, 75012 Paris, France",3,74,514,35,51,10,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Chambres non-fumeurs, Concierge, Animaux autorisés, Accès personnes handicapés, Tous les détails de l'hôtel, ",1
Hôtel Virgina,"66 rue du Pere Corentin, 75014 Paris, France",3,149,370,29,54,12,3,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Hôtel non-fumeur, Navette aéroport, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
B Montmartre Hotel,"6 rue Lecluse, 75017 Paris, France",4,188,1260,75,20,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Best Western Premier Opéra Liege,"9 Rue de Liège | 9ème arrondissement, 75009 Paris, France",4,178,335,60,25,10,2,3,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Hotel Félicien by Elegancia,"21 rue Felicien David, 75016 Paris, France",4,134,938,59,27,6,5,3,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Mama Shelter Paris East,"109 Rue de Bagnolet, 75020 Paris, France",2,169,2117,41,39,12,5,3,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Suites, Tous les détails de l'hôtel, ",3
MARAIS HÔme Hotel,"38, boulevard du Temple | 11e arrondissement, 75011 Paris, France",3,207,698,55,37,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hôtel Montmartre Mon Amour,"7 Rue Paul Albert, 75018 Paris, France",4,138,996,55,30,8,4,3,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Service de ménage, Tous les détails de l'hôtel, ",3
Mercure Paris Montmartre Sacre Coeur,"3 rue Caulaincourt, 75018 Paris, France",4,139,2806,35,45,13,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Pullman Paris Centre - Bercy,"1 rue de Libourne | 1 Avenue des Terroirs de France, 75012 Paris, France",4,206,3252,54,34,8,2,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Tous les détails de l'hôtel, ",3
Hotel du Printemps,"80 boulevard de Picpus, 75012 Paris, France",2,95,1041,45,46,7,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",2
Hotel Chatillon Paris Montparnasse,"11 Square de Chatillon | metro ligne 4 porte d'orleans et Alesia, 75014 Paris, France",3,83,272,38,44,14,3,1,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Chambres familiales, Concierge, Accès personnes handicapés, Parking gratuit, Tous les détails de l'hôtel, ",2
Seven Hôtel Paris,"20 rue Berthollet, 75005 Paris, France",4,149,1343,54,32,8,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hôtel George - Astotel,"46, rue Notre Dame de Lorette | 9th Arr., 75009 Paris, France",3,135,1090,69,25,4,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Grand Hotel Francais,"223 Boulevard Voltaire | 11th Arr., 75011 Paris, France",3,176,2190,67,27,4,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Timhotel Montmartre,"11 rue Ravignan, 75018 Paris, France",3,107,1262,28,43,18,6,5,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Personnel multilingue, Babysitting, Parking gratuit, Piscine, Tous les détails de l'hôtel, ",2
Les Piaules,"59 boulevard de Belleville, 75011 Paris, France",0,122,292,58,30,7,1,4,"Wi-Fi gratuit, Hôtel non-fumeur, Restaurant, Bar/lounge, Personnel multilingue, Accès personnes handicapés, Terrasse sur le toit, Tous les détails de l'hôtel, ",3
Hôtel Apollon Montparnasse,"91 rue de l ouest | 14 Arr., 75014 Paris, France",3,96,1127,58,33,6,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Service de ménage, Parking gratuit, Tous les détails de l'hôtel, ",2
Hotel Da Vinci & Spa,"25 rue des Saints Pères, 75006 Paris, France",4,320,972,80,15,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel du Triangle d'Or,"6 rue Godot de Mauroy | 9th Arr., 75009 Paris, France",3,422,511,47,41,9,2,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Spa, Tous les détails de l'hôtel, ",3
Hotel Europe Saint Severin,"38 rue Saint Severin, 75005 Paris, France",3,204,1522,54,37,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Suites, Tous les détails de l'hôtel, ",3
Novotel Paris Centre Bercy,"85 Rue de Bercy, 75012 Paris, France",4,212,1630,28,50,16,3,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Hotel Comete Paris,"14 B rue des Maraichers, 75020 Paris, France",3,135,262,79,19,1,0,0,"Wi-Fi gratuit, Parking, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Chambres familiales, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Design Secret de Paris,"2 rue de Parme, 75009 Paris, France",4,230,1790,78,18,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Jacuzzi, Hôtel non-fumeur, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Terrass'' Hotel by MH,"12-14 rue Joseph de Maistre, 75018 Paris, France",4,303,1073,77,19,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Hotel de la Porte Doree,"273 avenue Daumesnil, 75012 Paris, France",3,90,825,50,39,8,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Parking gratuit, Piscine, Tous les détails de l'hôtel, ",2
Le 10 Bis Hôtel,"10 Bis rue du Débarcadère, 75017 Paris, France",4,186,574,88,10,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Malte - Astotel,"63 rue de Richelieu | 2nd Arr., 75002 Paris, France",4,249,872,80,15,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Concierge, Tous les détails de l'hôtel, ",3
Hotel Val Girard,"14 rue Petel, 75015 Paris, France",3,121,599,43,46,2,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Personnel multilingue, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Hôtel Les Matins de Paris & Spa,"3 Rue Clauzel, 75009 Paris, France",4,149,457,62,28,7,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Chouette Hôtel,"237 Rue de la Convention, 75015 Paris, France",3,180,493,49,41,7,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Personnel multilingue, Parking gratuit, Tous les détails de l'hôtel, ",3
Hôtel Marignan,"13 rue du Sommerard | 05 Arr., 75005 Paris, France",1,95,863,38,44,11,3,0,"Wi-Fi gratuit, Petit déjeuner inclus, Hôtel non-fumeur, Chambres familiales, Personnel multilingue, Service de blanchisserie, Parking gratuit, Tous les détails de l'hôtel, ",2
Best Western Star Champs Elysees,"18 Rue De L'Arc De Triomphe | 17th Arr., 75017 Paris, France",3,161,646,32,50,12,4,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Animaux autorisés, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hôtel Monge,"55, rue Monge, 75005 Paris, France",4,256,679,90,9,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Hôtel 34B - Astotel,"34 Rue Bergère, 75009 Paris, France",3,212,2062,78,18,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Ibis Paris Gare de Lyon Ledru Rollin 12ème,"41 avenue Ledru Rollin | 12th Arr., 75012 Paris, France",3,93,1358,24,56,15,3,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Personnel multilingue, Animaux autorisés, Tous les détails de l'hôtel, ",2
Hôtel Magda Champs Elysées,"7 rue Troyon, 75017 Paris, France",3,186,1972,61,33,4,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Maison Albar Hotels - Le Diamond,"4 rue de la pépinière, 75008 Paris, France",5,221,1090,55,32,8,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel Vice Versa,"213 rue de la Croix Nivert, 75015 Paris, France",4,199,820,50,36,9,3,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Hôtel de JoBo,"10 Rue d'Ormesson, 75004 Paris, France",4,276,331,87,10,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel Eiffel Seine,"3, bd de Grenelle | 15 Arr., 75015 Paris, France",3,141,2387,48,39,2,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Bar/lounge, Personnel multilingue, Tous les détails de l'hôtel, ",3
Le Village Hostel,"20 rue d Orsel, 75018 Paris, France",0,130,855,41,37,14,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Personnel multilingue, Terrasse sur le toit, Tous les détails de l'hôtel, ",3
Hotel France Albion,"11 rue Notre Dame de Lorette | 75009 Paris, 75009 Paris, France",2,132,1250,46,44,8,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel Fabric,"31 rue de la Folie Mericourt, 75011 Paris, France",4,324,1385,85,14,1,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Tous les détails de l'hôtel, ",3
Best Western Premier Faubourg 88,"88 rue du Faubourg Poissonniere, 75010 Paris, France",4,161,453,48,39,7,4,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Joke - Astotel,"69, rue Blanche, 75009 Paris, France",3,166,1349,82,15,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Concierge, Tous les détails de l'hôtel, ",3
Motel One Paris-Porte Doree,"295 avenue Daumesnil, 75012 Paris, France",0,164,103,61,28,3,6,2,"Wi-Fi gratuit, Petit déjeuner disponible, Climatisation, Hôtel non-fumeur, Bar/lounge, Personnel multilingue, Animaux autorisés, Tous les détails de l'hôtel, ",3
Best Western Premier Marais Grands Boulevards,"112 Boulevard De Sebastopol, 75003 Paris, France",4,237,368,52,34,10,3,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Source Hotel,"135 avenue de Saint Ouen, 75017 Paris, France",3,69,300,34,52,11,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",1
Hôtel Au Boeuf Couronné,"188 Avenue Jean Jaurès, 75019 Paris, France",3,86,139,70,24,1,0,0,"Wi-Fi gratuit, Petit déjeuner disponible, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Chambres familiales, Tous les détails de l'hôtel, ",2
Hôtel de la Mare,"20, rue de la Mare, 75020 Paris, France",0,90,297,67,25,2,1,0,"Wi-Fi gratuit, Petit déjeuner disponible, Hôtel non-fumeur, Suites, Kitchenette, Personnel multilingue, Service de ménage, Tous les détails de l'hôtel, ",2
Le Marceau Bastille Hotel,"13 rue Jules Cesar, 75012 Paris, France",4,165,685,44,45,6,3,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Bar/lounge, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Opera Cadet Hotel,"24 rue Cadet, 75009 Paris, France",4,190,1775,43,44,10,2,1,"Wi-Fi gratuit, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel Westminster,"13 rue de la Paix, 75002 Paris, France",4,265,1169,55,25,11,6,3,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Chambres familiales, Tous les détails de l'hôtel, ",3
Villa Royale,"2 rue Duperre, 75009 Paris, France",4,246,824,38,12,7,5,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Service d'étage, Suites, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Le Tsuba Hotel,"45 Rue des Acacias, 75017 Paris, France",4,285,375,79,17,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Libertel Montmartre Opéra,"32, rue Duperré, 75009 Paris, France",3,98,723,31,48,15,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Personnel multilingue, Animaux autorisés, Nettoyage à sec, Tous les détails de l'hôtel, ",2
Home MODERNE,"61, rue Brancion, 75015 Paris, France",3,181,1172,46,45,7,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hôtel Esmeralda,"4 rue Saint Julien le Pauvre, 75005 Paris, France",1,121,396,38,39,13,6,4,"Wi-Fi gratuit, Climatisation, Hôtel non-fumeur, Chambres familiales, Personnel multilingue, Service de ménage, Parking gratuit, Tous les détails de l'hôtel, ",3
Hotel Residence Foch,"10 rue Marbeau, 75116 Paris, France",3,130,2464,72,23,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Bar/lounge, Concierge, Accès personnes handicapés, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Kube Hotel,"1-5 Passage Ruelle | 18th Arr., 75018 Paris, France",4,269,904,43,23,16,10,8,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
