 Nom  de  l'hôtel , Localisation , Nombre  des  étoiles  d’hôtel , Prix , Nombre  d'utilisateur , Excellent , Très  bon , Moyen , Médiocre , Horrible , servies  proposer , classe 
Villa Beaumarchais,"5 Rue des Arquebusiers, 75003 Paris, France",4,269,928,32,41,16,5,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel Motte Picquet,"30 avenue de la Motte Picquet | 7th Arr., 75007 Paris, France",3,140,1042,66,28,4,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Concierge, Tous les détails de l'hôtel, ",3
Hotel du Levant,"18 rue de la Harpe, 75005 Paris, France",3,190,1354,55,37,6,1,0,"Wi-Fi gratuit, Petit déjeuner inclus, Climatisation, Concierge, Chambres avec accès mobilité réduite, Parking gratuit, Piscine, Tous les détails de l'hôtel, ",3
Hotel Saint-Louis Pigalle,"6 rue Fromentin, 75009 Paris, France",3,156,126,58,37,2,0,3,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Chambres familiales, Concierge, Tous les détails de l'hôtel, ",3
Hôtel Le Six,"14, rue Stanislas, 75006 Paris, France",4,429,2113,78,18,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel du Prince Eugene,"247 Boulevard Voltaire, 75011 Paris, France",3,125,1405,56,37,5,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Accès personnes handicapés, Parking gratuit, Tous les détails de l'hôtel, ",3
Hôtel Molière,"21, rue Molière | 01 Arr., 75001 Paris, France",4,330,432,80,15,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Chambres non-fumeurs, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hôtel Plaza Athénée,"25 Avenue Montaigne, 75008 Paris, France",5,1,840,85,10,2,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Jacuzzi, Chambres non-fumeurs, Restaurant, Tous les détails de l'hôtel, ",1
Maison Albar Hotel Paris Céline,"23/25 Rue du Pont-Neuf | 1er arrondissement, 75001 Paris, France",5,408,306,69,15,8,3,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Tous les détails de l'hôtel, ",3
InterContinental Paris Le Grand,"2 Rue Scribe, 75009 Paris, France",5,400,3258,57,26,10,4,3,"Internet gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Tous les détails de l'hôtel, ",3
Grand Hôtel des Balcons,"3 rue Casimir Delavigne | 6th Arr., 75006 Paris, France",2,137,726,42,47,8,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Chambres familiales, Concierge, Service de ménage, Parking gratuit, Tous les détails de l'hôtel, ",3
Emeraude Hotel D'Espagne,"9 Cite Bergere | 09 Arr., 75009 Paris, France",3,222,445,41,46,9,2,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Hôtel non-fumeur, Concierge, Accès personnes handicapés, Service de ménage, Tous les détails de l'hôtel, ",3
Hotel Gustave,"34 rue Viala, 75015 Paris, France",4,175,267,61,30,6,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Hôtel Floride Etoile,"14, rue Saint Didier | 16eme Arr, 75116 Paris, France",3,143,575,39,43,13,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Grand Hotel Saint-Michel,"19 rue Cujas | 5th Arr., 75005 Paris, France",4,196,1134,57,34,6,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hotel Duo,"11, rue du Temple, 75004 Paris, France",4,288,808,44,41,8,3,0,"Wi-Fi gratuit, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Centre de remise en forme, Concierge, Tous les détails de l'hôtel, ",3
Hotel Odyssey by Elegancia,"19 rue Herold, 75001 Paris, France",3,251,708,58,33,6,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Idol Hotel,"16 rue d'Edimbourg, 75008 Paris, France",4,232,517,77,18,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Yllen Eiffel,"196 rue de Vaugirard, 75015 Paris, France",3,133,456,60,32,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Concierge, Tous les détails de l'hôtel, ",3
Odéon Hôtel,"3, Rue de l'Odéon, 75006 Paris, France",3,134,765,50,33,10,5,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Concierge, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Villa Brunel,"46 rue Brunel, 75017 Paris, France",3,261,352,32,45,13,7,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Chambres avec accès mobilité réduite, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Hôtel Tourisme Avenue ,"66 Avenue de la Motte-Picquet, 75015 Paris, France",3,173,1223,53,38,7,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Concierge, Tous les détails de l'hôtel, ",3
Hotel le Notre Dame,"1 quai Saint-Michel | 5th Arr., 75005 Paris, France",3,238,1105,55,33,10,1,0,"Wi-Fi gratuit, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Service de ménage, Parking gratuit, Tous les détails de l'hôtel, ",3
Hotel Vivienne,"40 rue Vivienne, 75002 Paris, France",2,90,584,33,48,12,5,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Chambres familiales, Parking gratuit, Climatisation, Piscine, Tous les détails de l'hôtel, ",2
Timhotel Opera Blanche Fontaine,"34 Rue Pierre Fontaine, 75009 Paris, France",4,150,678,43,40,9,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel Basss,"57 rue des Abbesses | 18th Arr., 75018 Paris, France",3,102,769,38,41,15,4,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Personnel multilingue, Accès personnes handicapés, Parking gratuit, Tous les détails de l'hôtel, ",2
Legend Hotel by Elegancia,"151 bis Rue de Rennes, 75006 Paris, France",4,161,1287,70,24,1,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Le Relais Saint Charles,"72 boulevard de Grenelle, 75015 Paris, France",3,139,388,37,48,11,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Chambres non-fumeurs, Concierge, Accès personnes handicapés, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Hotel Elixir,"7 rue Jean Lantier | 1st Arr., 75001 Paris, France",3,198,648,33,42,15,6,4,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hotel Passy Eiffel,"10 rue de Passy, 75016 Paris, France",3,191,791,49,41,8,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Concierge, Tous les détails de l'hôtel, ",3
Hotel Quartier Latin,"9 rue des Ecoles, 75005 Paris, France",3,104,508,37,49,3,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Parking gratuit, Piscine, Tous les détails de l'hôtel, ",2
Lyric Hotel Paris,"2, Rue de Gramont, 75002 Paris, France",4,343,956,63,29,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hôtel Princesse Caroline,"1 bis rue Troyon, 75017 Paris, France",3,111,400,47,42,8,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Bar/lounge, Centre de remise en forme, Tous les détails de l'hôtel, ",2
Hotel de la Cité Rougemont,"4, cité Rougemont | 9e Arr., 75009 Paris, France",2,114,659,40,45,12,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Service de ménage, Climatisation, Piscine, Hôtel non-fumeur, Tous les détails de l'hôtel, ",2
BEST WESTERN Paris Louvre Opera,"4 Rue Des Moulins, 75001 Paris, France",3,285,807,43,42,11,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hotel Caron,"3 rue Caron | 04 Arr., 75004 Paris, France",3,269,443,55,35,3,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Personnel multilingue, Accès personnes handicapés, Nettoyage à sec, Tous les détails de l'hôtel, ",3
La Clef Tour Eiffel Paris,"83 avenue Kleber | 16 Arr., 75116 Paris, France",5,297,392,69,21,4,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hotel L'Echiquier Opéra Paris MGallery by Sofitel,"38 rue de l Echiquier | 10 Arr., 75010 Paris, France",4,266,828,72,23,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Saint James Paris,"5 place du Chancelier Adenauer, 75116 Paris, France",4,579,1385,84,11,3,0,0,"Wi-Fi gratuit, Parking gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Select Hôtel,"1 Place de la Sorbonne, 75005 Paris, France",4,170,1270,41,42,12,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Personnel multilingue, Tous les détails de l'hôtel, ",3
Hôtel Le Marianne,"11 Rue Paul Baudry, 75008 Paris, France",4,330,408,73,22,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Bar/lounge, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Zazie Hôtel,"3 rue de Chaligny | 12 Arr., 75012 Paris, France",2,77,458,31,52,12,3,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Hôtel non-fumeur, Concierge, Service de ménage, Piscine, Tous les détails de l'hôtel, ",1
Le Meurice,"228 rue de Rivoli, 75001 Paris, France",5,1,1291,80,13,4,2,1,"Internet gratuit, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",1
Le Pavillon de la Reine,"28 Place des Vosges, 75003 Paris, France",5,610,965,78,15,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Shangri-La Hotel Paris,"10 Avenue d'Iéna, 75116 Paris, France",5,1,1571,84,10,1,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Tous les détails de l'hôtel, ",1
Le Royal Monceau-Raffles Paris,"37 Avenue Hoche, 75008 Paris, France",5,1,1457,84,11,3,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",1
Maison FL,"6 rue de la Tour, 75116 Paris, France",4,166,376,63,29,5,1,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Hôtel Champerret Elysées,"129 Avenue de Villiers | 17th Arr., 75017 Paris, France",3,100,370,35,53,10,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Chambres familiales, Personnel multilingue, Tous les détails de l'hôtel, ",2
Auberge Flora,"44 boulevard Richard Lenoir, 75011 Paris, France",3,146,358,33,48,12,5,0,"Wi-Fi gratuit, Climatisation, Hôtel non-fumeur, Restaurant, Suites, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",3
Hotel Beauchamps,"24 Rue de Ponthieu | Champs-Elysées, 75008 Paris, France",4,261,398,46,33,11,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Chambres non-fumeurs, Service d'étage, Concierge, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Hôtel Scarlett,"1 Rue Jouye Rouve, 75020 Paris, France",3,141,355,66,26,5,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",3
Novotel Suites Paris Expo Porte de Versailles,"4 Boulevard Brune, 75014 Paris, France",4,221,369,48,40,6,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hôtel Paris Bastille Boutet - MGallery,"22 24 Rue Faidherbe, 75011 Paris, France",5,270,562,64,25,8,2,1,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Tous les détails de l'hôtel, ",3
Hôtel Albe Saint Michel,"1 Rue de la Harpe | 05 Arr., 75005 Paris, France",3,285,1411,51,40,6,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Chambres avec accès mobilité réduite, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Hôtel Yllen Eiffel,"196 rue de Vaugirard, 75015 Paris, France",3,133,456,60,32,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Concierge, Tous les détails de l'hôtel, ",3
Hotel La Bourdonnais,"111 Avenue de la Bourdonnais, 75007 Paris, France",4,212,784,70,23,5,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Bar/lounge, Tous les détails de l'hôtel, ",3
Drawing Hotel,"17 rue de Richelieu, 75001 Paris, France",4,368,122,70,20,7,2,1,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hôtel Observatoire Luxembourg,"107, boulevard Saint-Michel, 75005 Paris, France",4,219,1112,63,32,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Concierge, Tous les détails de l'hôtel, ",3
Hotel Verneuil Saint-Germain,"8 rue de Verneuil, 75007 Paris, France",4,323,856,72,20,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Hotel Elixir,"7 rue Jean Lantier | 1st Arr., 75001 Paris, France",3,198,648,33,42,15,6,4,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hôtel Les Jardins de la Villa,"5 Rue Belidor, 75017 Paris, France",4,231,1593,70,25,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Château Frontenac,"54 rue Pierre Charron, 75008 Paris, France",4,314,874,53,35,8,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Concierge, Tous les détails de l'hôtel, ",3
Hôtel Park Lane Paris,"4 Rue la Boétie, 75008 Paris, France",4,160,277,60,30,8,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hotel Montfleuri,"21 avenue de la Grande Armee, 75116 Paris, France",4,196,347,41,40,12,3,4,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Floride Etoile,"14, rue Saint Didier | 16eme Arr, 75116 Paris, France",3,143,575,39,43,13,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Victoria Palace,"6 Rue Blaise Desgoffe, 75006 Paris, France",5,305,711,69,23,5,1,2,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Les Tournelles,"30 rue de Turenne, 75003 Paris, France",3,321,369,74,20,1,0,0,"Wi-Fi gratuit, Petit déjeuner disponible, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Lyric Hotel Paris,"2, Rue de Gramont, 75002 Paris, France",4,343,956,63,29,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Centre de remise en forme, Tous les détails de l'hôtel, ",3
My Home in Paris Hotel,"5 rue de Malte, 75011 Paris, France",4,320,123,75,20,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Accès personnes handicapés, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Citadines Tour Eiffel Paris,"132 boulevard de Grenelle | 15th Arr., 75015 Paris, France",4,346,341,55,32,7,3,0,"Wi-Fi gratuit, Parking, Petit déjeuner disponible, Climatisation, Hôtel non-fumeur, Suites, Kitchenette, Tous les détails de l'hôtel, ",3
Le Relais Montmartre,"6 rue Constance, 75018 Paris, France",4,134,1143,69,27,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hotel Relais Bosquet Paris,"19 rue du Champ de Mars, 75007 Paris, France",3,199,2387,69,25,4,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",3
Hôtel Régina Louvre,"2 Place des Pyramides, 75001 Paris, France",5,487,1282,65,22,7,3,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Tous les détails de l'hôtel, ",3
Nolinski Paris,"16 avenue de l Opera, 75001 Paris, France",5,1,208,78,15,4,1,2,"Wi-Fi gratuit, Petit déjeuner disponible, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",1
Hotel Lumen Paris Louvre,"15 Rue des Pyramides | 1st Arr., 75001 Paris, France",4,460,796,43,40,12,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Relais Christine,"3 Rue Christine, 75006 Paris, France",5,874,1065,77,15,2,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Jacuzzi, Chambres non-fumeurs, Service d'étage, Tous les détails de l'hôtel, ",3
180,1954,49,42,7,1,0,3,3
80,852,69,25,4,1,0,2,2
187,2158,29,51,15,4,0,4,3
106,1288,36,46,12,3,0,3,2
178,873,50,42,6,1,0,3,3
104,520,35,51,11,2,0,3,2
190,3258,31,50,13,0,0,4,3
177,576,80,15,3,1,0,4,3
68,190,35,46,15,2,0,0,1
123,1452,58,29,7,3,0,4,3
260,1335,63,22,9,4,0,5,3
378,2876,50,29,11,5,0,4,3
157,3102,59,33,5,1,2,3,3
